Ad Poster ID,Date,Ad ID,Platform,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
4,09/20/2018,47,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 3,Acadia National Park,"Text: Visit the Acadia National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/acad/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,N
4,09/20/2018,48,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 3,Acadia National Park,"Text: Visit the Acadia National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/acad/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/21/2018,49,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 4,Maine Acadian Culture,"Text: Visit the Maine Acadian Culture before it''s destroyed by climate change!, Website URL: https://www.nps.gov/maac/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/21/2018,50,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 4,Maine Acadian Culture,"Text: Visit the Maine Acadian Culture before it''s destroyed by climate change!, Website URL: https://www.nps.gov/maac/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/21/2018,51,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 4,Roosevelt Campobello International Park,"Text: Visit the Roosevelt Campobello International Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/roca/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/21/2018,52,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 4,Roosevelt Campobello International Park,"Text: Visit the Roosevelt Campobello International Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/roca/index.htm, Headline: Don''t forget about nature, State: ME, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/22/2018,53,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 5,John H. Chafee Blackstone River Valley National Heritage Corridor,"Text: Visit the John H. Chafee Blackstone River Valley National Heritage Corridor before it''s destroyed by climate change!, Website URL: https://www.nps.gov/blac/index.htm, Headline: Don''t forget about nature, State: MA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/22/2018,54,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 5,John H. Chafee Blackstone River Valley National Heritage Corridor,"Text: Visit the John H. Chafee Blackstone River Valley National Heritage Corridor before it''s destroyed by climate change!, Website URL: https://www.nps.gov/blac/index.htm, Headline: Don''t forget about nature, State: MA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/22/2018,55,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 5,Saugus Iron Works National Historic Site,"Text: Visit the Saugus Iron Works National Historic Site before it''s destroyed by climate change!, Website URL: https://www.nps.gov/sair/index.htm, Headline: Don''t forget about nature, State: MA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/22/2018,56,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 5,Saugus Iron Works National Historic Site,"Text: Visit the Saugus Iron Works National Historic Site before it''s destroyed by climate change!, Website URL: https://www.nps.gov/sair/index.htm, Headline: Don''t forget about nature, State: MA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/23/2018,57,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 6,Fort Monroe National Monument,"Text: Visit the Fort Monroe National Monument before it''s destroyed by climate change!, Website URL: https://www.nps.gov/fomr/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/23/2018,58,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 6,Fort Monroe National Monument,"Text: Visit the Fort Monroe National Monument before it''s destroyed by climate change!, Website URL: https://www.nps.gov/fomr/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/24/2018,59,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 7,Shenandoah National Park,"Text: Visit the Shenandoah National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/shen/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/24/2018,60,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 7,Shenandoah National Park,"Text: Visit the Shenandoah National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/shen/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/24/2018,61,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 7,Wolf Trap National Park for the Performing Arts,"Text: Visit the Wolf Trap National Park for the Performing Arts before it''s destroyed by climate change!, Website URL: https://www.nps.gov/wotr/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/24/2018,62,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 7,Wolf Trap National Park for the Performing Arts,"Text: Visit the Wolf Trap National Park for the Performing Arts before it''s destroyed by climate change!, Website URL: https://www.nps.gov/wotr/index.htm, Headline: Don''t forget about nature, State: VA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/25/2018,63,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 8,Fort Frederica National Monument,"Text: Visit the Fort Frederica National Monument before it''s destroyed by climate change!, Website URL: https://www.nps.gov/fofr/index.htm, Headline: Don''t forget about nature, State: GA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/25/2018,64,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 8,Fort Frederica National Monument,"Text: Visit the Fort Frederica National Monument before it''s destroyed by climate change!, Website URL: https://www.nps.gov/fofr/index.htm, Headline: Don''t forget about nature, State: GA, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/26/2018,65,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 9,Biscayne National Park,"Text: Visit the Biscayne National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/bisc/index.htm, Headline: Don''t forget about nature, State: FL, Keywords: east coast, national parks, nature'",Democrat,Issue,State,N
4,09/26/2018,66,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 9,Biscayne National Park,"Text: Visit the Biscayne National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/bisc/index.htm, Headline: Don''t forget about nature, State: FL, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
