Ad Poster ID,Date,Platform,Ad ID,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
3,9/24/2018,Facebook,57,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 7,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/25133259/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/24/2018,Google,58,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 7,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/25133259/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/25/2018,Facebook,59,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 8,Hogan,"Text: Check out this VINYL from the one and only Hogan!, Website URL: https://api.bestbuy.com/click/-/20155634/pdp, Headline: Calling all music lovers, State: Maryland, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/25/2018,Google,60,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 8,Hogan,"Text: Check out this VINYL from the one and only Hogan!, Website URL: https://api.bestbuy.com/click/-/20155634/pdp, Headline: Calling all music lovers, State: Maryland, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/25/2018,Facebook,61,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 8,Baker,"Text: Check out this VINYL from the one and only Baker!, Website URL: https://api.bestbuy.com/click/-/18424273/pdp, Headline: Calling all music lovers, State: Massachusetts, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/25/2018,Google,62,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 8,Baker,"Text: Check out this VINYL from the one and only Baker!, Website URL: https://api.bestbuy.com/click/-/18424273/pdp, Headline: Calling all music lovers, State: Massachusetts, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/26/2018,Facebook,63,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 9,Baker,"Text: Check out this VINYL from the one and only Baker!, Website URL: https://api.bestbuy.com/click/-/19614486/pdp, Headline: Calling all music lovers, State: Massachusetts, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/26/2018,Google,64,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 9,Baker,"Text: Check out this VINYL from the one and only Baker!, Website URL: https://api.bestbuy.com/click/-/19614486/pdp, Headline: Calling all music lovers, State: Massachusetts, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/26/2018,Facebook,65,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 9,Johnson,"Text: Check out this VINYL from the one and only Johnson!, Website URL: https://api.bestbuy.com/click/-/16713317/pdp, Headline: Calling all music lovers, State: Minnesota, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/26/2018,Google,66,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 9,Johnson,"Text: Check out this VINYL from the one and only Johnson!, Website URL: https://api.bestbuy.com/click/-/16713317/pdp, Headline: Calling all music lovers, State: Minnesota, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/27/2018,Facebook,67,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 10,Johnson,"Text: Check out this VINYL from the one and only Johnson!, Website URL: https://api.bestbuy.com/click/-/16716984/pdp, Headline: Calling all music lovers, State: Minnesota, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/27/2018,Google,68,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 10,Johnson,"Text: Check out this VINYL from the one and only Johnson!, Website URL: https://api.bestbuy.com/click/-/16716984/pdp, Headline: Calling all music lovers, State: Minnesota, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/28/2018,Facebook,69,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 11,Pearce,"Text: Check out this VINYL from the one and only Pearce!, Website URL: https://api.bestbuy.com/click/-/28678689/pdp, Headline: Calling all music lovers, State: New Mexico, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/28/2018,Google,70,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 11,Pearce,"Text: Check out this VINYL from the one and only Pearce!, Website URL: https://api.bestbuy.com/click/-/28678689/pdp, Headline: Calling all music lovers, State: New Mexico, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/28/2018,Facebook,71,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 11,Wagner,"Text: Check out this VINYL from the one and only Wagner!, Website URL: https://api.bestbuy.com/click/-/25511238/pdp, Headline: Calling all music lovers, State: Pennsylvania, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/28/2018,Google,72,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 11,Wagner,"Text: Check out this VINYL from the one and only Wagner!, Website URL: https://api.bestbuy.com/click/-/25511238/pdp, Headline: Calling all music lovers, State: Pennsylvania, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/29/2018,Facebook,73,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 12,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/1539805/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/29/2018,Google,74,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 12,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/1539805/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/30/2018,Facebook,75,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 13,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/16966008/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/30/2018,Google,76,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 13,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/16966008/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,10/1/2018,Facebook,77,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 14,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/16989494/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,10/1/2018,Google,78,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 14,Lee,"Text: Check out this VINYL from the one and only Lee!, Website URL: https://api.bestbuy.com/click/-/16989494/pdp, Headline: Calling all music lovers, State: Tennessee, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,10/1/2018,Facebook,79,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 14,Abbott,"Text: Check out this VINYL from the one and only Abbott!, Website URL: https://api.bestbuy.com/click/-/25111822/pdp, Headline: Calling all music lovers, State: Texas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,10/1/2018,Google,80,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 14,Abbott,"Text: Check out this VINYL from the one and only Abbott!, Website URL: https://api.bestbuy.com/click/-/25111822/pdp, Headline: Calling all music lovers, State: Texas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
